15.250000	109	7.147541	0.139908
14.724138	195	13.243560	0.075508
14.233333	189	13.278689	0.075309
15.621951	95	6.081187	0.164442
15.250000	94	6.163934	0.162234
16.215190	208	12.827479	0.077958
13.627660	52	3.815769	0.262070
14.895349	33	2.215457	0.451374
15.070588	6	0.398126	2.511765
14.233333	203	14.262295	0.070115
14.895349	206	13.829820	0.072308
15.621951	204	13.058548	0.076578
14.076923	202	14.349727	0.069688
15.621951	187	11.970336	0.083540
15.250000	177	11.606557	0.086158
14.556818	154	10.579235	0.094525
14.233333	157	11.030445	0.090658
13.923913	164	11.778298	0.084902
14.895349	163	10.943013	0.091383
14.724138	199	13.515222	0.073991
15.621951	31	1.984387	0.503934
16.636364	33	1.983607	0.504132
14.724138	19	1.290398	0.774955
14.895349	14	0.939891	1.063953
14.556818	8	0.549571	1.819602
15.070588	181	12.010148	0.083263
14.393258	172	11.950039	0.083682
14.556818	173	11.884465	0.084143
14.393258	175	12.158470	0.082247
13.923913	173	12.424668	0.080485
15.250000	180	11.803279	0.084722
14.895349	165	11.077283	0.090275
14.233333	161	11.311475	0.088406
14.724138	169	11.477752	0.087125
16.012500	167	10.429352	0.095883
16.855263	44	2.610461	0.383074
